query_idx,recall@10,mrr@10,ndcg@10
0,0.5653806970749741,0.5867588153924063,0.4920053791890729
1,0.5856050939916566,0.5957896071427367,0.5059807719339311
2,0.5223322097859908,0.5368911160752552,0.44564941201835007
3,0.18697273798076486,0.2778104700012652,0.12963887892923975
4,0.5728168122888002,0.5385606874473348,0.48647714710220147
5,0.6218489427325302,0.5950230594639034,0.4729276835239435
6,0.9421099629113959,0.9984546888183361,0.9403229016689402
7,0.6097880520469692,0.5861691711244392,0.5545758619951817
8,0.44785666511771377,0.440120532807151,0.3653059260410828
9,0.40811601888951765,0.31071830363716524,0.2773816285574605
10,0.3615148898761741,0.3775777781005457,0.2762199511485252
11,0.5596437794418849,0.5851785466033249,0.4770236232140617
12,0.9318345224016911,0.9299778984309044,0.8570492399062322
13,0.2682198808501175,0.2745832142384661,0.17975394091717556
14,0.30157281694491767,0.3349419622040109,0.24998514095200047
15,0.1277445178238989,0.13002584482289226,0.07241076202055852
16,0.651139787146402,0.6706265060537984,0.5723785664487351
17,0.43742872007571626,0.45758560287185246,0.4213789508440297
18,0.6471137794432127,0.6395861716704031,0.536346557233655
19,0.44074578110501994,0.4453252110330684,0.3860653067084998
20,0.6002731775599172,0.6092261651397639,0.5200496927860969
21,0.5380849482568726,0.5391541405471573,0.4506668174240879
22,0.6104735050751965,0.6819162204537732,0.561099652882945
23,0.5862178558151803,0.5525110473077978,0.5011248648014905
24,0.24494503490992708,0.30752537765826365,0.1883980969680645
25,0.33245176658595227,0.4045138686172328,0.325054689211368
26,0.4757085844267959,0.4416150423514479,0.4080983737434071
27,0.6784629494258488,0.7064010584847795,0.6367557132345001
28,0.4288183059876211,0.46680819701416026,0.40435901848967215
29,0.4141582948476186,0.44436248108459425,0.34389886549698906
30,0.4639137327545352,0.4267344132483986,0.3370118468303129
31,0.2534344015962917,0.26256487143116647,0.21735038224902892
32,0.6908157512727496,0.7042607510174906,0.5851683636199192
33,0.3190232619725478,0.3943003717505841,0.2554532373887737
34,0.40580723632956167,0.3983912966019135,0.2968991472635867
35,0.2816561250340579,0.30328506120082543,0.2218460996132528
36,0.4176646715665705,0.3824371155606042,0.32139455029280956
37,0.06856641732831775,0.11812466105989644,0.03931870891501138
38,0.4583421155511007,0.4922421724846864,0.40600991495108557
39,0.3754477610703403,0.43435467342068784,0.30771017874523343
40,0.3620652622750126,0.367984635129508,0.27673835126657487
41,0.6954849416423766,0.7078171034180953,0.6525143282367951
42,0.36789687907536583,0.39548401914745235,0.34167333357366414
43,0.29483725015113577,0.3677571161515974,0.2679339460094832
44,0.46203799155020236,0.4892860547080631,0.40603829926712187
45,0.20245798807519655,0.21209438240666034,0.0859896499381364
46,0.5418441871995001,0.547860061736877,0.4542000031953348
47,0.32978751514257987,0.3680109143006246,0.2763382181610586
48,0.31660212778882163,0.33238994393204413,0.23714329651686034
49,0.5969778882247471,0.617106420130702,0.4913072916113481
50,0.10603863464897467,0.13508172936921553,0.08948740170141922
51,0.5907004084785834,0.6254459637095255,0.5023200080997099
52,0.5594411845725391,0.5849376997053223,0.46421142989712555
53,0.6320192049625899,0.664648917351099,0.5289448693853067
54,0.6021247847250385,0.6137773848568226,0.524490293991162
55,0.7909150227286161,0.7972542146092423,0.6643881846957389
56,0.1783827645999843,0.21000662390675065,0.15346382076573303
57,0.41638753756049784,0.39891241388170706,0.29868896734934985
58,0.441239657952641,0.44566065905351304,0.38799854576669407
59,0.07477183830653844,0.05973154110291817,0.0
60,0.5159609147476396,0.49820766133786676,0.4146308026979719
61,0.3776100400412268,0.40451552247566314,0.2917039911220724
62,0.7419432888353176,0.7350743385000105,0.648704677736587
63,0.5057603055835233,0.48508762031657227,0.4385243215877008
64,0.6324846568295613,0.7014053636081194,0.6059682106492763
65,0.5484124913520487,0.5371631010436966,0.45985125835091484
66,0.2599556390620058,0.2781561317645851,0.2583120060244867
67,0.322686342725375,0.2915199893817979,0.2345990346276411
68,0.6503314778659873,0.6935898193540072,0.5835615305310673
69,0.714745527949471,0.7099981142629705,0.6428415044569609
70,0.4239555011073425,0.49124542289496,0.37563139578941906
71,0.8849436243023496,0.8653403213341203,0.7940266739219768
